sound,pronunciation,native,language,meaning
GOOD,SI-ko-i-_,łigaii,navajo,white (color)
GOOD,nI-Stxh~I-_s,niłchiis,navajo,wolverine
o&+,txa+tI+tlo&+'II,jádídlǫ́ʼii,navajo,wren (bird)
o&,tI+_k!o&x,dííkʼǫsh,navajo,yeast
GOOD,ba#XtU,børste,norwegian (bokmal),a brush
GOOD,h~ye_le,kjele,norwegian (bokmal),a cooking vessel
GOOD,h~yu_lU,kjole,norwegian (bokmal),a dress
GOOD,h~yEmpU,kjempe,norwegian (bokmal),a giant
GOOD,h~yEp,kjepp,norwegian (bokmal),a large stick
GOOD,h~yA_^NU,kjerne,norwegian (bokmal),a nucleus
GOOD,abbo#rru_sU,abborruse,norwegian (bokmal),a perch fish trap
GOOD,fRo_tU,flåte,norwegian (bokmal),a raft
GOOD,akXunA_r,aksjonær,norwegian (bokmal),a shareholder
GOOD,bUse#_^k,besøk,norwegian (bokmal),a visit
GOOD,bra#n,brønn,norwegian (bokmal),a well
GOOD,kVInU,kvinne,norwegian (bokmal),a woman
ny~,e#_ny~,ørn,norwegian (bokmal),an eagle
a#i#,a#i#,øy,norwegian (bokmal),an island
a#,a#l,øl,norwegian (bokmal),beer
GOOD,fye#_l,fjøl,norwegian (bokmal),board
GOOD,bre#_,brød,norwegian (bokmal),bread
GOOD,h~yEmi_,kjemi,norwegian (bokmal),chemistry
GOOD,h~yi#^llIq,kylling,norwegian (bokmal),chick (baby chicken)
GOOD,h~yukk,tjukk,norwegian (bokmal),chubby
GOOD,h~i#st,kyst,norwegian (bokmal),coast (shoreline)
GOOD,kRa_gU,klage,norwegian (bokmal),complaint
GOOD,tEh~kk,dekk,norwegian (bokmal),deck (nautical)
GOOD,gra#nnt,grønt,norwegian (bokmal),green
GOOD,li#ke,lykke,norwegian (bokmal),happiness
GOOD,h~ya#n,kjønn,norwegian (bokmal),kind/species
GOOD,h~yA_LIhe_t,kjærlighet,norwegian (bokmal),love
GOOD,fyA_re,fjære,norwegian (bokmal),low tide
GOOD,h~ya#t,kjøtt,norwegian (bokmal),meat
GOOD,se#vn,søvn,norwegian (bokmal),sleep (state)
GOOD,h~ye#_lU,kjøle,norwegian (bokmal),to cool
GOOD,h~yi#sU,kysse,norwegian (bokmal),to kiss
GOOD,h~yE^nnU,kjenne,norwegian (bokmal),to know
GOOD,da#i#VU,døyve,norwegian (bokmal),to placate
GOOD,'di#_Vo_t,dyvåt,norwegian (bokmal),very wet
S,aSmuS,alhmulh,nuxalk,beads
k!,k!aKa_si,k'aqaasi,nuxalk,crow
H,Hala,xala,nuxalk,fern
K!,HaHaK!,xaxaq',nuxalk,goose
ts!,Hits!lh,xits'lh,nuxalk,metal (iron)
k!,eqk!p!ts,ank'pts,nuxalk,mouse
kw!,kw!ni,kw'ni,nuxalk,seal (animal)
S,Sm,lhm,nuxalk,to stand
Kw!,asaKw!s,asaqw's,nuxalk,water (bottom)
GOOD,pXEs,przez,polish,across
GOOD,JEmyExy~lny~i^tXi#,rzemieślniczy,polish,artisans
GOOD,pyE^qkni#,piękny,polish,beautiful
GOOD,HXo#u&wXtX,chrząszcz,polish,beetle
GOOD,jy~djy~bwo#,źdźbło,polish,blade (botany)
GOOD,pXi#ya^txy~El,przyjaciel,polish,close friend
GOOD,dJvi,drzwi,polish,door
GOOD,ftXExy~ny~E,wcześnie,polish,early
GOOD,fXi#stko#,wszystko,polish,everything
GOOD,tsudzo#jy~E^myEts,cudzoziemiec,polish,foreigner
GOOD,tXtE^ri#,cztery,polish,four
GOOD,fspany~alE,wspaniale,polish,great
GOOD,bEzvzglE^ndni#,bezwzględny,polish,harsh/merciless
GOOD,tXExy~txy~,cześć,polish,hello
GOOD,tXwo#vyEk,człowiek,polish,human
GOOD,XtXEny~xy~txy~E,szczęście,polish,luck/happiness
GOOD,nastE^mpstfo#,następstwo,polish,precedence
GOOD,kxy~Eu&wJny~i^tXka,księżniczka,polish,princess
GOOD,Xtutxy~Ets,sztuciec,polish,sheath to hold tools
GOOD,XExy~sEt,sześćset,polish,six hundred
GOOD,gdjy~Exy~,gdzieś,polish,somewhere
GOOD,fkruttsE,wkrótce,polish,soon
GOOD,pXEstXEny~,przestrzeń,polish,space (area)
GOOD,ftxy~o#u&wX,wciąż,polish,still (motionless)
GOOD,tXi#,trzy,polish,three
GOOD,bi#txy~,być,polish,to be
GOOD,ko#Ji#^statxy~,korzystać,polish,to benefit
GOOD,sHXanyatxy~,schrzaniać,polish,to botch
GOOD,stXi#^XtXatxy~,sczyszczać,polish,to clean up
GOOD,pXi#Ho#^djy~itxy~,przychodzić,polish,to come
GOOD,znalExy~txy~,znaleźć,polish,to find
GOOD,ixy~txy~,iść,polish,to go/walk
GOOD,swi#Xi#X,słyszysz,polish,to hear
GOOD,zdyo#ny~txy~,zdjąć,polish,to remove
GOOD,vidjy~Etxy~,widzieć,polish,to see
GOOD,stXi#ts,strzyc,polish,to shear/cut
GOOD,vjy~o#ny~txy~,wziąć,polish,to take/grab
GOOD,sHludjy~itxy~,schludzić,polish,to tidy up
GOOD,Htxy~Etxy~,chcieć,polish,to want
GOOD,djy~ixy~,dziś,polish,today
GOOD,fto#^rEk,wtorek,polish,tuesday
GOOD,ti#^djy~Eny~,tydzień,polish,week
GOOD,Juwtxy~,żółć,polish,yellow
GOOD,ftXo#ray,wczoraj,polish,yesterday
vy~,zvy~ery~,зверь,russian,animal
ty~,pty~i^tsU,пти́ца,russian,bird
e#,ry~Iby~e#^nUk,ребёнок,russian,child
my~,my~asU,мя́со,russian,flesh
vy~,tsvy~Ito^k,цвето́к,russian,flower
vy~,vy~Iry~O^fkU,верёвка,russian,rope (chord)
sy~,sy~emy~U,се́мя,russian,seed
J,koJU,ко́жа,russian,skin
my~,zmy~Iya^,змея́,russian,snake
hv,hvost,хвост,russian,tail
my~,smy~IXattsU,смешаться,russian,to blend
ny~,Utmy~Iny~A^ty~,отменя́ть,russian,to cancel
J,Oha^Ji#vUty~,ухаживать,russian,to care
my~,kUmy~Iny~ty~i^rUvUty~,комментировать,russian,to comment
ny~,pUny~Ima^ty~,понимать,russian,to comprehend
ry~,rUssma^try~IvUty~,рассматривать,russian,to consider
dy~,dy~ImUnstry~i^rUvUty~,демонстрировать,russian,to demonstrate
ny~,dUkOmy~Iny~ty~i^rUvUty~,документировать,russian,to document
ny~,sUmny~Iva^ttsU,сомневаться,russian,to doubt
txy~,my~Itxy~ta^ty~,мечтать,russian,to dream
my~,zUtmy~Iva^ty~,затмевать,russian,to eclipse
ty~,rUssmatry~e^ty~,рассмотре́ть,russian,to examine
h,vi#di#ha^ty~,выдыхать,russian,to exhale
dy~,nUhUdy~i^ty~,находить,russian,to find
dy~,pUthUdy~i^ty~,подходить,russian,to fit
hy~,fspi#^hy~IvUty~,вспыхивать,russian,to flash
ry~,pry~IdOsma^try~IvUty~,предусматривать,russian,to foresee
ry~,hmury~ItsU,хмуриться,russian,to frown
ny~,UhrUny~A^ty~,охраня́ть,russian,to guard
ty~,pUmaga^ty~,помогать,russian,to help
lG~,OlG~OtXXa^ty~,улучша́ть,russian,to improve
X,vmy~eXi#vUtsU,вме́шиваться,russian,to interfere
lG~,pry~IglG~UXa^ty~,приглаша́ть,russian,to invite
X,XOty~i^ty~,шутить,russian,to joke
lG~,slG~u^XUty~,слу́шать,russian,to listen
txy~,Utmy~Itxy~A^Ty~,отмечать,russian,to mark
vy~,sUvy~IrXE^nstvUvUt,совершенствовать,russian,to master
X,smy~e^Xi#vUty~,смешивать,russian,to mix
ny~,zUtOma^ny~IvUty~,затуманивать,russian,to obscure
by~,Oby~IJda^ty~,убеждать,russian,to persuade
J,nUgrUmUJda^ty~,нагромождать,russian,to pile up
J,sUJa^ty~,сажать,russian,to plant
J,IzUbrUJa^ty~,изображать,russian,to portray
J,nUJi#ma^Ty~,нажимать,russian,to press
J,OvUJa^ty~,уважать,russian,to respect
J,nUgrUJda^ty~,награждать,russian,to reward
h,vzdi#haty~,вздыхать,russian,to sigh
sy~,sy~ty~ImOly~i^rUvUty~,стимулировать,russian,to stimulate
my~,my~I^nA^ty~,менять,russian,to swap
ky~,Xi#roky~Iy,широ́кий,russian,wide
i#,kri#lyo,крыло́,russian,wing
J,JE^ny~xyInU,же́нщина,russian,woman
txy~,txy~erfy~,червь,russian,worm
ia,ian,eun,scottish gaelic,bird
a&,kh~ra&_v,cnàmh,scottish gaelic,bone
ly~,lye^nUv,leanabh,scottish gaelic,child
u_,su_l,sùil,scottish gaelic,eye
ly~,kh~O^ly~U,coille,scottish gaelic,forest
ky~h,ky~haun,ceann,scottish gaelic,head
ry~,kh~ry~iU,cridhe,scottish gaelic,heart
OU,O^Urk,adharc,scottish gaelic,horn
ly~,tOly~ak,duilleag,scottish gaelic,leaf
ry~,ma^ahUry~,màthair,scottish gaelic,mother
O_,krO_v,craobh,scottish gaelic,tree
rr,garra,garra,spanish,claw
e,kore^gto,correcto,spanish,correct
rr,perro,perro,spanish,dog
rr,zorro,zorro,spanish,fox
e,tye^rra,tierra,spanish,land
e,korreo,correo,spanish,mail
rr,arroz,arroz,spanish,rice
e,torre,torre,spanish,tower
m,mhe^qga,mhenga,swahili,ancestor
m,mfu^ko#,mfuko,swahili,bag/purse
m,mka^nda,mkanda,swahili,belt
GOOD,ndEg?E,ndege,swahili,bird
m,mdjE^nzi,mjenzi,swahili,builder
n,nda^ma,ndama,swahili,calf
m,mgo#^mbea,mgombea,swahili,candidate
q,qgwe^na,ngwena,swahili,crocodile
m,mbiliki^mo#,mbilikimo,swahili,dwarf
q,qgu^mi,ngumi,swahili,fist
m,mba^be,mbabe,swahili,hero
m,mra^di,mradi,swahili,project
n,ndu^gu,ndugu,swahili,relative
m,mtxu^zi,mchuzi,swahili,sauce
q,qge,nge,swahili,scorpion
m,mbayuwa^yu,mbayuwayu,swahili,swallow (bird species)
m,mna^ra,mnara,swahili,tower
m,mtaza^mo,mtazamo,swahili,viewpoint
q,qgi^ri,ngiri,swahili,warthog
m,mxi^ndi,mshindi,swahili,winner (one who wins)
p*,p*go-o,ʘgòõ,taa,caterpillar
p*,p*a-a,ʘàa,taa,child
p*,p*no&+o,ʘnó̰õ,taa,large louse
p*,p*'a+a,ʘ'áa,taa,to burn
GOOD,'oVVa_maI,ஒவ்வாமை,tamil,allergy
GOOD,'akkuL,அக்குள்,tamil,armpit
N,vaNTu,வண்டு,tamil,beetle
GOOD,koLVanaI,கொள்வனை,tamil,borrowing
GOOD,roTTi,ரொட்டி,tamil,bread
GOOD,lany~djy~am,லஞ்சம்,tamil,bribe
TT,paTTa_mbu_ttxy~i,பட்டாம்பூச்சி,tamil,butterfly
TT,'oTTagam,ஒட்டகம்,tamil,camel
GOOD,many~djy~aLmuLLaqgi,மஞ்சள்முள்ளங்கி,tamil,carrot
GOOD,na_rka_li,நாற்காலி,tamil,chair
GOOD,VaTTam,வட்டம்,tamil,circle/halo
GOOD,menVeLLi,மென்வெள்ளி,tamil,cobalt
GOOD,tu_ny~,தூண்,tamil,column
txy~,pany~txy~u,பஞ்சு,tamil,cotton
N,naNDu,நண்டு,tamil,crab
GOOD,'iruL,இருள்,tamil,dark
GOOD,puLLi,புள்ளி,tamil,dot/point
GOOD,maTpa_NDam,மட்பாண்டம்,tamil,earthen vessel
TT,muTTaI,முட்டை,tamil,eggs
GOOD,'akka_L,அக்காள்,tamil,elder sister
GOOD,minnany~djy~al,மின்னஞ்சல்,tamil,email
N,kaN,கண்,tamil,eye
GOOD,mi_nVe_TTaI,மீன்வேட்டை,tamil,fishing
X,puXpam,புஷ்பம்,tamil,flower
GOOD,pu_NDu,பூண்டு,tamil,garlic
txy~,iny~txy~i,இஞ்சி,tamil,ginger
GOOD,paNDabada_rttam,பண்டபதார்த்தம்,tamil,goods
GOOD,'aruL,அருள்,tamil,grace
GOOD,'urugo_L,உறுகோள்,tamil,happening
X,txy~ando_Xam,சந்தோஷம்,tamil,happiness
GOOD,maNDaI,மண்டை,tamil,head
GOOD,ma_Npu,மாண்பு,tamil,honor
GOOD,me_TTimaI,மேட்டிமை,tamil,leadership
GOOD,ni_NDa_yam,நீண்டாயம்,tamil,length
u#,'idau#,இதழ்,tamil,lip
GOOD,tiqgaL,திங்கள்,tamil,month
GOOD,taLLaI,தள்ளை,tamil,mother
GOOD,'iyarkaI,இயற்கை,tamil,nature
GOOD,putta_NDu,புத்தாண்டு,tamil,new year
GOOD,'onpadu,ஒன்பது,tamil,nine
GOOD,Veqga_yam,வெங்காயம்,tamil,onion
GOOD,'uLLaqgaI,உள்ளங்கை,tamil,palm (hand)
GOOD,manny~aI,மஞ்ஞை,tamil,peacock
X,ViXam,விஷம்,tamil,poison
LL,muLLaqgi,முள்ளங்கி,tamil,radish
GOOD,muTtxy~eVVandi,முட்செவ்வந்தி,tamil,rose
LL,paLLikku_Dam,பள்ளிக்கூடம்,tamil,school
L,te_L,தேள்,tamil,scorpion
TT,txy~aTTaI,சட்டை,tamil,shirt
N,puN,புண்,tamil,sore
GOOD,kaLLam,கள்ளம்,tamil,stealth
GOOD,pisaNDam,பிசண்டம்,tamil,stomach
txy~,txy~arkkaraI,சர்க்கரை,tamil,sugar
L,va_L,வாள்,tamil,sword
GOOD,koLkaI,கொள்கை,tamil,taking
GOOD,'a_siriyar,ஆசிரியர்,tamil,teacher
GOOD,naTtxy~attiramaNDalam,நட்சத்திரமண்டலம்,tamil,the starry heavens
GOOD,txy~eVVi,செவ்வி,tamil,time
GOOD,to_NDu,தோண்டு,tamil,to dig
GOOD,miny~djy~u,மிஞ்சு,tamil,to exceed
GOOD,'aLLu,அள்ளு,tamil,to gather
GOOD,paLLatta_kku,பள்ளத்தாக்கு,tamil,valley
GOOD,puNiyam,புண்ணியம்,tamil,virtue
GOOD,toDNan,தொண்டன்,tamil,volunteer
NN,taNNi_r,தண்ணீர்,tamil,water
djy~,many~djy~aL,மஞ்சள்,tamil,yellow
o#+_o#++,no#+_o#++y,น้อย,thai,a few
GOOD,ma++_a--k.,มาก,thai,a lot
','oq,องก์,thai,act
i-i--,ka-a--ti-i--ka_,กติกา,thai,agreement
kh,th~a+a++t.sa-a--na+a++kha+a++ti-i--',ทัศนคติ,thai,attitude
o#,bo#n,บอล,thai,ball
GOOD,mi--_i--i+,หมี,thai,bear
u--u--a+,su--u--a+y,สวย,thai,beautiful
a-a--,ka-a--t.,กัด,thai,bite
a-a--,ka-a--y,ไก่,thai,chicken
GOOD,me++_e--k.,เมฆ,thai,cloud
a_,ma_,มา,thai,come
txy~h~,txy~h~a-a--nu--a+n,ฉนวน,thai,corridor
u_,pu_,ปู,thai,crab
o#--_o#--o#+,mo#--_o#--o#+,หมอ,thai,doctor
a--a--a+,ma--_a--a+,หมา,thai,dog
a,klay,ไกล,thai,far
i--i--i+,ji--i--i+q,หญิง,thai,female
f,fay,ไฟ,thai,fire
a-_a--,pa-_a--,ป่า,thai,forest
o--o--o+,ph~o--o--o+nla+a++ma+_a++y,ผลไม้,thai,fruit
u+a++,ru+a++,รั้ว,thai,gate
o-o--,ka-a--no-o--k.,กนก,thai,gold
i_,di_,ดี,thai,good
u-u--,pu-_u--,ปู่,thai,grandpa
u-u--,su-u--k.,สุข,thai,happy
kh,kh~a+a++rO+O++ha-a--,คฤห,thai,home
o#+_o#++n,ro#+_o#++n,ร้อน,thai,hot
a++_a--,ba++_a--n,บ้าน,thai,house
t.,ko-o--t.,กฎ,thai,inscription
a-a--,kh~a-a--w,เข่า,thai,knee
u+_u++,ru+_u++,รู้,thai,know
O+O++,ph~O+O++ndin,พื้นดิน,thai,land
a+_a++,bayma+_a++y,ใบไม้,thai,leaf
a+a++,ra+a++k.,รัก,thai,love
O-a--,sO-a--,เสื่อ,thai,mat
a+a++,la+a++n,ล้าน,thai,million
txy~,txy~an,พระจันทร์,thai,moon
a--a--a+,ph~u_kh~a--a--a+w,ภูเขา,thai,mountain
a--a--a+,na--a--a+q,หนัง,thai,movie
a-a--,ma-a--y,ใหม่,thai,new
a--_a--a+,la--_a--a+n,หลาน,thai,niece/nephew
o--o--o+,fo--o--o+n,ฝน,thai,rain
a++_a--,kh~a++_a--w,ข้าว,thai,rice
i-_i--,mi-_i--,หมี่,thai,rice noodle
a+a++,th~a+a++lee,ทะเล,thai,sea
e+e++,ma+a++le+e++t.,เมล็ด,thai,seed
a+_a++,kh~a+_a++,ค้า,thai,sell
O++a--,sO++a--,เสื้อ,thai,shirt
i++a--,ti++a--,เตี้ย,thai,short
i--i--i+,ph~i--i--i+w,ผิว,thai,skin
o#+o#++,th~o#+o#++qfa+a++,ท้องฟ้า,thai,sky
e+e++,le+e++k.,เล็ก,thai,small
i,din,ดิน,thai,soil
u++_u--,ph~u++_u--t.,พูด,thai,speak
th,th~o#++o#--ykham,ถ้อยคำ,thai,speech
a_,da_w,ดาว,thai,star
o#++_o#--,ko#++_o#--nhi--i--i+n,ก้อนหิน,thai,stone
ia,rian,เรียน,thai,study
i+i++,'aath~i+i++t.,พระอาทิตย์,thai,sun
o+o++,to+o++',โต๊ะ,thai,table
a++_a--,txy~h~a++_a--q,ช่าง,thai,technician
i+i++,kh~i+i++t.,คิด,thai,think
txy~h~,txy~h~u++a--,ชั่ว,thai,time
i-a--,pli-a--n,เปลี่ยน,thai,to change
o#+o#++,lo#+o#++,ล้อ,thai,to copy
a++a--,kh~a++a--w,เข้า,thai,to enter
th~,th~am,ทำ,thai,to make
u_,du_,ดู,thai,to see
a+a++,txy~h~a+a++y,ใช้,thai,to use
a-_a--,ya-_a--k.,อยาก,thai,to want
a+_a++,to++o--nma+_a++y,ต้นไม้,thai,tree
a+a++,na+a++m,น้ำ,thai,water
k.,kra-a--ti-i--k.,กระติก,thai,water jug
a--_a--a+,kh~a--_a--a+w,ขาว,thai,white
O--O--a+,lO--O--a+q,เหลือง,thai,yellow
a++a--,txy~h~a++a--y,ใช่,thai,yes
o#+_o#++,no#+_o#++q,น้อง,thai,younger sibling
GOOD,so++o++pa++a++,སོ་པ,tibetan,a scout
GOOD,na--a,ན,tibetan,age
GOOD,th~u++u++k.,ཐུགས,tibetan,attitude
GOOD,ph~o++o++lo++o++,པོ་ལོ,tibetan,ball
GOOD,txy~h~a--a,བྱ,tibetan,bird
GOOD,te--ewa++a++,བདེ་བ,tibetan,bliss
GOOD,te--ele++e--,བདེ་ལེགས,tibetan,bliss and happiness
GOOD,ku++u++,སྐུ,tibetan,body/statue
GOOD,th~e--ee-p.,དེབ,tibetan,book
GOOD,ma--_a,མར,tibetan,butter
GOOD,txy~h~e++e++ma++a++le++e--p.,ཕྱེ་མ་ལེབ,tibetan,butterfly
GOOD,mo--oTXa++a--,མོ་ཊ,tibetan,car
GOOD,txy~h~o++o++tsh~e#++_e#--,ཆུ་ཚོད,tibetan,clock
GOOD,TXi&++i&++,སྤྲིན,tibetan,cloud
GOOD,ph~E++_E++kE++_E--,ཕལ་སྐད,tibetan,colloquial language
GOOD,ma++a++qTXe#++_e#--,དམངས་ཁྲོད,tibetan,common folk
GOOD,ny~i++i++qtxy~e,སྙིང་རྗེ,tibetan,compassion
GOOD,txy~h~a--amtse++e--,བྱམས་བརྩེ,tibetan,compassion
GOOD,ti#--_i#i#-,བདུད,tibetan,demon
GOOD,to--oqTXe,གདོན་འདྲེ,tibetan,demon/ghost
GOOD,to--_otxy~e++e++,རྡོ་རྗེ,tibetan,diamond
GOOD,nE--_EE-,ནད,tibetan,disease
GOOD,ky~h~i++i++,ཁྱི,tibetan,dog
GOOD,ko--o,སྒོ,tibetan,door
GOOD,ky~ay,ཚེག,tibetan,dot/point
GOOD,mE&++E&++,སྨན,tibetan,drug/medicine
GOOD,th~a++a++la++a++,ཐལ་བ,tibetan,dust
GOOD,sa++a++,ས,tibetan,earth
GOOD,tsi#&++i#&++TXi#++_i#--,བརྩོན་འགྲུས,tibetan,effort
GOOD,xy~i--iq,ཞིང,tibetan,field
GOOD,me--e,མེ,tibetan,fire
GOOD,ny~a--a,ཉ,tibetan,fish
GOOD,th~a++a++q,ཐང,tibetan,flatlands
GOOD,to++o++,ལྟོ,tibetan,food
GOOD,na--aa-,ནགས,tibetan,forest
GOOD,wa++_a++mo--o,ཝ་མོ,tibetan,fox
GOOD,sE++_E--,སད,tibetan,frost
GOOD,TXE--_EE-,འབྲས,tibetan,fruit
GOOD,Sa++a++,ལྷ,tibetan,god/diety
GOOD,ta++a++msaq,གཏམ་བཟང,tibetan,good news
GOOD,ki#&--i#&TXu++u++m,རྒུན་འབྲུམ,tibetan,grape
GOOD,ko--o,མགོ,tibetan,head
GOOD,ny~i++i++q,སྙིང,tibetan,heart/mind/essence
GOOD,kh~a++a++qpa++a++,ཁང་པ,tibetan,house
GOOD,mi--i,མི,tibetan,human being
GOOD,xy~i&--i&i&-,བཞིན,tibetan,image
GOOD,nE++_E++txy~i#_,གནས་ཚུལ,tibetan,information
GOOD,no--_ou#-kE_,ནོར་སྐལ,tibetan,inheritance
GOOD,na--aq,ནང,tibetan,interior
GOOD,txy~a++a--,ལྕགས,tibetan,iron
GOOD,tsh~o++o++,མཚོ,tibetan,lake
GOOD,kE++_E--,སྐད,tibetan,language/speech
GOOD,txy~o--oo-q,ལྗོངས,tibetan,large valley
GOOD,tsh~o++o++wa,འཚོ་བ,tibetan,life
GOOD,'e#--_e#e#-,འོད,tibetan,light
GOOD,se++e++q,སེང,tibetan,lion
